 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon            TOTout_C            TOTinp_C           POMinp1_C           POMinp2_C            DOMinp_C           POMdec1_C           POMdec2_C       POMdec2DOM1_C       POMdec2DOM2_C       POMdec2MOM1_C       POMdec2MOM2_C            MOMdec_C           MOM2DOM_C           QOM2DOM_C           DOM2QOM_C        DOM2QOMnet_C           DOM2MBA_C     MBA_mortality_C           MBA2EP1_C           MBA2EP2_C            MBA2EM_C            MBA_PM_C           EP2DOM1_C           EP2DOM2_C            EM2DOM_C           MBA2DOM_C           MBA2POM_C           MBA2MBD_C           MBD2MBA_C             CO2_gmo              CO2_gm          CO2_growth          CO2_maintn          CO2_ovflow      CO2_maintn_MBA      CO2_maintn_MBD      CO2_ovflow_MBA      CO2_ovflow_MBD           Nmine_dep             NH4_dep             NO3_dep             Nmn_net                 Nmn             Nmn_MBA             Nmn_MBD                 Nim             Nim_NH4             Nim_NO3              Nitrif            DENitrif            TOTout_N            TOTinp_N           POMinp1_N           POMinp2_N            DOMinp_N           POMdec1_N           POMdec2_N       POMdec2DOM1_N       POMdec2DOM2_N       POMdec2MOM1_N       POMdec2MOM2_N            MOMdec_N           MOM2DOM_N           QOM2DOM_N           DOM2QOM_N        DOM2QOMnet_N           DOM2MBA_N     MBA_mortality_N           MBA2EP1_N           MBA2EP2_N            MBA2EM_N            MBA_PM_N           EP2DOM1_N           EP2DOM2_N            EM2DOM_N           MBA2DOM_N           MBA2POM_N           MBA2MBD_N           MBD2MBA_N                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.144696E-03        0.857073E-04        0.599951E-05        0.317117E-04        0.479961E-04        0.709441E-05        0.114095E-04        0.638470E-05        0.102682E-04        0.709708E-06        0.114138E-05        0.520539E-05        0.520539E-05        0.269286E-04        0.224263E-04       -0.450228E-05        0.148679E-03        0.358497E-07        0.508445E-06        0.641802E-07        0.485491E-06        0.109397E-05        0.998662E-06        0.172177E-06        0.981556E-06        0.320079E-07        0.384185E-08        0.311360E-05        0.903300E-07        0.144696E-03        0.144696E-03        0.136111E-03        0.858509E-05        0.000000E+00        0.856321E-05        0.218761E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200910        0.369561E-04        0.460387E-04        0.322271E-05        0.170343E-04        0.257817E-04        0.250748E-05        0.527038E-05        0.225664E-05        0.474314E-05        0.250842E-06        0.527237E-06        0.191392E-05        0.191392E-05        0.410954E-05        0.000000E+00       -0.410954E-05        0.396000E-04        0.299121E-07        0.237293E-06        0.380445E-07        0.233440E-06        0.538689E-06        0.338155E-06        0.522185E-07        0.330108E-06        0.267065E-07        0.320554E-08        0.237752E-05        0.243323E-07        0.369561E-04        0.369561E-04        0.352182E-04        0.173797E-05        0.000000E+00        0.171389E-05        0.240817E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200911        0.182399E-04        0.198700E-04        0.139090E-05        0.735190E-05        0.111272E-04        0.184544E-05        0.488216E-05        0.166083E-05        0.439376E-05        0.184614E-06        0.488400E-06        0.145963E-05        0.145963E-05        0.829358E-06        0.000000E+00       -0.829358E-06        0.200142E-04        0.183516E-07        0.222304E-06        0.383762E-07        0.221013E-06        0.500045E-06        0.236609E-06        0.398505E-07        0.234326E-06        0.163849E-07        0.196666E-08        0.132747E-05        0.352172E-07        0.182399E-04        0.182399E-04        0.172782E-04        0.961633E-06        0.000000E+00        0.936490E-06        0.251429E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200912        0.753009E-05        0.450860E-05        0.315602E-06        0.166818E-05        0.252482E-05        0.145684E-05        0.458752E-05        0.131110E-05        0.412859E-05        0.145738E-06        0.458924E-06        0.122833E-05        0.122833E-05        0.200195E-06        0.694814E-07       -0.130714E-06        0.977510E-05        0.620721E-07        0.154523E-06        0.264039E-07        0.153396E-06        0.396396E-06        0.180461E-06        0.309956E-07        0.179275E-06        0.554201E-07        0.665199E-08        0.365269E-05        0.199726E-08        0.753009E-05        0.753009E-05        0.697269E-05        0.557397E-06        0.000000E+00        0.530329E-06        0.270673E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201001        0.501639E-05        0.397043E-05        0.277930E-06        0.146906E-05        0.222344E-05        0.899542E-06        0.273760E-05        0.809554E-06        0.246374E-05        0.899881E-07        0.273863E-06        0.752545E-06        0.752545E-06        0.166410E-06        0.209508E-06        0.430982E-07        0.650186E-05        0.546767E-07        0.955683E-07        0.159418E-07        0.945419E-07        0.260729E-06        0.116706E-06        0.196558E-07        0.115611E-06        0.488172E-07        0.585945E-08        0.312981E-05        0.309536E-09        0.501639E-05        0.501639E-05        0.462553E-05        0.390862E-06        0.000000E+00        0.361063E-06        0.297995E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201002        0.363509E-05        0.336607E-05        0.235625E-06        0.124545E-05        0.188500E-05        0.616566E-06        0.182936E-05        0.554886E-06        0.164636E-05        0.616798E-07        0.183005E-06        0.519731E-06        0.519731E-06        0.220995E-06        0.300910E-06        0.799150E-07        0.469542E-05        0.230588E-07        0.641928E-07        0.106139E-07        0.634236E-07        0.161289E-06        0.757375E-07        0.125871E-07        0.748844E-07        0.205877E-07        0.247111E-08        0.133557E-05        0.651396E-08        0.363509E-05        0.363509E-05        0.334843E-05        0.286657E-06        0.000000E+00        0.255162E-06        0.314950E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201003        0.136346E-04        0.254312E-04        0.178018E-05        0.940953E-05        0.142415E-04        0.711254E-06        0.194855E-05        0.640101E-06        0.175362E-05        0.711521E-07        0.194929E-06        0.574667E-06        0.574667E-06        0.355969E-06        0.347022E-06       -0.894710E-08        0.173799E-04        0.289548E-08        0.114741E-06        0.195620E-07        0.113867E-06        0.251066E-06        0.880926E-07        0.147746E-07        0.872142E-07        0.258518E-08        0.310296E-09        0.191328E-06        0.378422E-06        0.136346E-04        0.136346E-04        0.128288E-04        0.805825E-06        0.000000E+00        0.773955E-06        0.318703E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201004        0.733120E-04        0.116157E-03        0.813096E-05        0.429780E-04        0.650478E-04        0.161797E-05        0.547092E-05        0.145611E-05        0.492362E-05        0.161858E-06        0.547298E-06        0.126537E-05        0.126537E-05        0.191536E-06        0.000000E+00       -0.191536E-06        0.732522E-04        0.115402E-08        0.259606E-06        0.532595E-07        0.265258E-06        0.579278E-06        0.212552E-06        0.408501E-07        0.214842E-06        0.103035E-08        0.123671E-09        0.858804E-07        0.192287E-05        0.733120E-04        0.733120E-04        0.698520E-04        0.345998E-05        0.000000E+00        0.342911E-05        0.308635E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201005        0.120847E-03        0.188162E-03        0.131713E-04        0.696199E-04        0.105371E-03        0.191318E-05        0.113336E-04        0.172179E-05        0.101998E-04        0.191390E-06        0.113378E-05        0.151548E-05        0.151548E-05        0.417115E-07        0.000000E+00       -0.417115E-07        0.119424E-03        0.520157E-08        0.253033E-06        0.736599E-07        0.276981E-06        0.608876E-06        0.254613E-06        0.655592E-07        0.271453E-06        0.464414E-08        0.557428E-09        0.397325E-06        0.119029E-05        0.120847E-03        0.120847E-03        0.115794E-03        0.505276E-05        0.000000E+00        0.502255E-05        0.302047E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201006        0.117389E-03        0.173235E-03        0.121264E-04        0.640968E-04        0.970111E-04        0.173426E-05        0.160335E-04        0.156077E-05        0.144295E-04        0.173492E-06        0.160395E-05        0.137638E-05        0.137638E-05        0.794921E-08        0.000000E+00       -0.794921E-08        0.115032E-03        0.760851E-09        0.228340E-06        0.875449E-07        0.267818E-06        0.584463E-06        0.238575E-06        0.829732E-07        0.272619E-06        0.679314E-09        0.815370E-10        0.740611E-07        0.222999E-05        0.117389E-03        0.117389E-03        0.113399E-03        0.399022E-05        0.000000E+00        0.396146E-05        0.287561E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
