 Data_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
       Mon        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
    200909        0.283000E-03        0.221960E+02        0.768200E-01       -0.331400E-01        0.640000E+01
    200910        0.283000E-03        0.227384E+02        0.763323E-01       -0.335880E-01        0.640000E+01
    200911        0.283000E-03        0.222680E+02        0.788867E-01       -0.314246E-01        0.640000E+01
    200912        0.279258E-03        0.228500E+02        0.801387E-01       -0.303301E-01        0.640000E+01
    201001        0.225000E-03        0.238277E+02        0.795839E-01       -0.307731E-01        0.640000E+01
    201002        0.225000E-03        0.243536E+02        0.791143E-01       -0.311562E-01        0.640000E+01
    201003        0.225000E-03        0.249226E+02        0.786419E-01       -0.315491E-01        0.640000E+01
    201004        0.225000E-03        0.239667E+02        0.781267E-01       -0.319866E-01        0.640000E+01
    201005        0.225000E-03        0.232248E+02        0.775839E-01       -0.324575E-01        0.640000E+01
    201006        0.225000E-03        0.223750E+02        0.771000E-01       -0.328875E-01        0.640000E+01
    201007        0.182419E-03        0.213335E+02        0.766161E-01       -0.333260E-01        0.640000E+01
    201008        0.165000E-03        0.216645E+02        0.760613E-01       -0.338410E-01        0.640000E+01
    201009        0.165000E-03        0.214243E+02        0.755533E-01       -0.343232E-01        0.640000E+01
    201010        0.165000E-03        0.214397E+02        0.750677E-01       -0.347946E-01        0.640000E+01
    201011        0.165000E-03        0.215640E+02        0.745800E-01       -0.352782E-01        0.640000E+01
    201012        0.165000E-03        0.219474E+02        0.740097E-01       -0.358585E-01        0.640000E+01
    201101        0.188484E-03        0.217094E+02        0.735194E-01       -0.363696E-01        0.640000E+01
