 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                fINP                 VP1                 VP2                  VM                 KP1                 KP2                  KM                Qmax                 Kba                Kdes                Kads                rEP1                rEP2                 rEM                 pEP                 pEM                  fD                  gD                  Vg               alpha                  Vm                  KD                  Yg                 Q10               gamma               rMORT                beta             Vm_dorm               VmA2D               VmD2A             SWP_A2D                 tau             SWP_D2A               wdorm             VNup_MB          VNup_PLANT            KsNH4_MB            KsNO3_MB         KsNH4_PLANT         KsNO3_PLANT                Vnit              Vdenit                 YgN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.400000E+00        0.662943E+01        0.499203E+02        0.285592E+02        0.107037E+03        0.107037E+02        0.107037E+04        0.250000E+01        0.600000E+01        0.627376E-02        0.363939E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.554615E-01        0.400007E-01        0.216600E-02        0.847443E-03        0.211831E+00        0.128370E+01        0.105475E-01        0.471481E-05        0.501060E-03        0.103794E-05        0.461715E-03        0.334339E-04        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.557706E-01        0.000000E+00        0.107037E-03        0.107037E-03        0.000000E+00        0.000000E+00        0.140968E-01        0.000000E+00        0.100000E+01
    200910        0.400000E+00        0.540396E+01        0.462662E+02        0.243735E+02        0.833626E+02        0.833626E+01        0.833626E+03        0.250000E+01        0.600000E+01        0.531117E-02        0.349109E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.374795E-01        0.400007E-01        0.183367E-02        0.660007E-03        0.219139E+00        0.128370E+01        0.105475E-01        0.644052E-05        0.501060E-03        0.103794E-05        0.544502E-03        0.208610E-04        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.376884E-01        0.000000E+00        0.833626E-04        0.833626E-04        0.000000E+00        0.000000E+00        0.886212E-02        0.000000E+00        0.100000E+01
    200911        0.400000E+00        0.498796E+01        0.453245E+02        0.229428E+02        0.734852E+02        0.734852E+01        0.734852E+03        0.250000E+01        0.600000E+01        0.487968E-02        0.341705E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.308374E-01        0.400007E-01        0.168470E-02        0.581805E-03        0.222793E+00        0.128370E+01        0.105475E-01        0.382720E-05        0.501060E-03        0.103794E-05        0.285721E-03        0.416605E-04        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.310093E-01        0.000000E+00        0.734852E-04        0.734852E-04        0.000000E+00        0.000000E+00        0.840453E-02        0.000000E+00        0.100000E+01
    200912        0.400000E+00        0.361032E+01        0.388460E+02        0.176033E+02        0.512548E+02        0.512548E+01        0.512548E+03        0.250000E+01        0.600000E+01        0.383975E-02        0.321895E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.175023E-01        0.400007E-01        0.132567E-02        0.405799E-03        0.232588E+00        0.128370E+01        0.105475E-01        0.149558E-04        0.501060E-03        0.103794E-05        0.905164E-03        0.274280E-05        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.175998E-01        0.000000E+00        0.512548E-04        0.512548E-04        0.000000E+00        0.000000E+00        0.309319E-02        0.000000E+00        0.100000E+01
    201001        0.400000E+00        0.334282E+01        0.358826E+02        0.161270E+02        0.499590E+02        0.499590E+01        0.499590E+03        0.250000E+01        0.600000E+01        0.376987E-02        0.320262E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.168994E-01        0.400007E-01        0.130154E-02        0.395540E-03        0.233400E+00        0.128370E+01        0.105475E-01        0.204369E-04        0.501060E-03        0.103794E-05        0.121873E-02        0.350291E-06        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.169936E-01        0.000000E+00        0.499590E-04        0.499590E-04        0.000000E+00        0.000000E+00        0.211485E-02        0.000000E+00        0.100000E+01
    201002        0.400000E+00        0.363353E+01        0.393246E+02        0.177753E+02        0.507832E+02        0.507832E+01        0.507832E+03        0.250000E+01        0.600000E+01        0.381756E-02        0.321473E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.172253E-01        0.400007E-01        0.131800E-02        0.402066E-03        0.232797E+00        0.128370E+01        0.105475E-01        0.128941E-04        0.501060E-03        0.103794E-05        0.771381E-03        0.522302E-05        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.173213E-01        0.000000E+00        0.507832E-04        0.507832E-04        0.000000E+00        0.000000E+00        0.330926E-02        0.000000E+00        0.100000E+01
    201003        0.400000E+00        0.456531E+01        0.441175E+02        0.214410E+02        0.645531E+02        0.645531E+01        0.645531E+03        0.250000E+01        0.600000E+01        0.447705E-02        0.334463E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.251434E-01        0.400007E-01        0.154569E-02        0.511086E-03        0.226370E+00        0.128370E+01        0.105475E-01        0.136258E-05        0.501060E-03        0.103794E-05        0.938304E-04        0.204358E-03        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.252835E-01        0.000000E+00        0.645531E-04        0.645531E-04        0.000000E+00        0.000000E+00        0.882603E-02        0.765745E-03        0.100000E+01
    201004        0.400000E+00        0.555191E+01        0.471460E+02        0.249004E+02        0.839928E+02        0.839928E+01        0.839928E+03        0.250000E+01        0.600000E+01        0.533894E-02        0.349588E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.378927E-01        0.400007E-01        0.184326E-02        0.664996E-03        0.218903E+00        0.128370E+01        0.105475E-01        0.213140E-06        0.501060E-03        0.103794E-05        0.181701E-04        0.751187E-03        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.381039E-01        0.000000E+00        0.839928E-04        0.839928E-04        0.000000E+00        0.000000E+00        0.173600E-01        0.367755E-02        0.100000E+01
    201005        0.400000E+00        0.614346E+01        0.487682E+02        0.268952E+02        0.958999E+02        0.958999E+01        0.958999E+03        0.250000E+01        0.600000E+01        0.582843E-02        0.357252E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.467644E-01        0.400007E-01        0.201225E-02        0.759268E-03        0.215126E+00        0.128370E+01        0.105475E-01        0.998957E-06        0.501060E-03        0.103794E-05        0.886043E-04        0.303183E-03        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.470250E-01        0.000000E+00        0.958999E-04        0.958999E-04        0.000000E+00        0.000000E+00        0.171680E-01        0.177008E-02        0.100000E+01
    201006        0.400000E+00        0.747654E+01        0.521442E+02        0.312648E+02        0.122979E+03        0.122979E+02        0.122979E+04        0.250000E+01        0.600000E+01        0.688567E-02        0.372577E-01        0.350805E-02        0.350805E-02        0.350805E-02        0.322797E-01        0.273678E-01        0.899962E+00        0.892835E+00        0.688002E-01        0.400007E-01        0.237726E-02        0.973663E-03        0.207576E+00        0.128370E+01        0.105475E-01        0.185395E-06        0.501060E-03        0.103794E-05        0.201864E-04        0.756019E-03        0.480465E-01        0.250000E+00        0.120116E-01        0.400000E+01        0.691836E-01        0.000000E+00        0.122979E-03        0.122979E-03        0.000000E+00        0.000000E+00        0.300856E-01        0.564535E-02        0.100000E+01
