 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20090901        0.300542E-04        0.448208E-03        0.129667E-04        0.101207E+01        0.163213E+00        0.206908E+00        0.289892E-04        0.627129E-04        0.456204E-01        0.570108E-01        0.747792E+00        0.314625E+00        0.129167E+00        0.100000E+01       -0.969042E-17        0.122167E+01        0.122042E+01        0.108292E-03        0.131154E-02        0.219000E+02        0.769000E-01       -0.331000E-01        0.640000E+01
  20090902        0.283208E-04        0.402500E-03        0.120542E-04        0.358208E+01        0.361292E-01        0.455417E-01        0.657833E-05        0.229250E-03        0.542500E-02        0.488125E-02        0.148667E+00        0.383958E+00       -0.100379E+00        0.100000E+01       -0.961346E-17        0.121000E+01        0.121000E+01        0.113000E-03        0.175000E-03        0.234000E+02        0.765000E-01       -0.334000E-01        0.640000E+01
  20090903        0.274500E-04        0.396500E-03        0.118125E-04        0.327958E+01        0.330792E-01        0.417875E-01        0.622583E-05        0.216500E-03        0.526167E-02        0.475042E-02        0.151583E+00        0.372875E+00       -0.968875E-01        0.100000E+01        0.947083E-17        0.121000E+01        0.121000E+01        0.113000E-03        0.167583E-03        0.219000E+02        0.761000E-01       -0.338000E-01        0.640000E+01
  20090904        0.263583E-04        0.366958E-03        0.111917E-04        0.323708E+01        0.330625E-01        0.417208E-01        0.903333E-05        0.143458E-03        0.515917E-02        0.467333E-02        0.144542E+00        0.362625E+00       -0.935083E-01        0.100000E+01       -0.106971E-16        0.120375E+01        0.120333E+01        0.113000E-03        0.162417E-03        0.225000E+02        0.805000E-01       -0.300000E-01        0.640000E+01
  20090905        0.251917E-04        0.342625E-03        0.106500E-04        0.316625E+01        0.326292E-01        0.411542E-01        0.850542E-05        0.144917E-03        0.505375E-02        0.459042E-02        0.139333E+00        0.353292E+00       -0.904250E-01        0.100000E+01        0.990833E-17        0.120000E+01        0.120000E+01        0.113000E-03        0.157292E-03        0.229000E+02        0.801000E-01       -0.304000E-01        0.640000E+01
  20090906        0.240000E-04        0.315542E-03        0.100558E-04        0.318958E+01        0.302958E-01        0.381500E-01        0.745125E-05        0.150792E-03        0.452792E-02        0.411458E-02        0.121750E+00        0.344167E+00       -0.885083E-01        0.100000E+01       -0.744750E-17        0.120000E+01        0.120000E+01        0.899000E-04        0.139333E-03        0.237000E+02        0.797000E-01       -0.307000E-01        0.640000E+01
  20090907        0.229667E-04        0.294667E-03        0.957583E-05        0.313750E+01        0.298208E-01        0.375167E-01        0.698167E-05        0.153125E-03        0.440250E-02        0.401083E-02        0.116250E+00        0.335583E+00       -0.857750E-01        0.100000E+01        0.198333E-16        0.120000E+01        0.120000E+01        0.899000E-04        0.134083E-03        0.241000E+02        0.793000E-01       -0.310000E-01        0.640000E+01
  20090908        0.219917E-04        0.275208E-03        0.912125E-05        0.308583E+01        0.294875E-01        0.370667E-01        0.656667E-05        0.155542E-03        0.430042E-02        0.392708E-02        0.111208E+00        0.327042E+00       -0.830875E-01        0.100000E+01       -0.565292E-17        0.120000E+01        0.120000E+01        0.899000E-04        0.129833E-03        0.246000E+02        0.789000E-01       -0.313000E-01        0.640000E+01
  20090909        0.210583E-04        0.257167E-03        0.868958E-05        0.303875E+01        0.292167E-01        0.366875E-01        0.618042E-05        0.158167E-03        0.420167E-02        0.384625E-02        0.106375E+00        0.318667E+00       -0.804583E-01        0.100000E+01        0.283725E-16        0.120000E+01        0.120000E+01        0.899000E-04        0.125708E-03        0.251000E+02        0.785000E-01       -0.317000E-01        0.640000E+01
  20090910        0.204292E-04        0.253375E-03        0.851250E-05        0.282917E+01        0.271083E-01        0.341000E-01        0.586958E-05        0.152208E-03        0.407792E-02        0.374167E-02        0.107958E+00        0.310500E+00       -0.782458E-01        0.100000E+01       -0.171125E-16        0.120000E+01        0.120000E+01        0.899000E-04        0.121042E-03        0.238000E+02        0.781000E-01       -0.320000E-01        0.640000E+01
