 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.175447E-04        0.225218E-03        0.742860E-05        0.228337E+01        0.269754E-01        0.340450E-01        0.541454E-05        0.147920E-03        0.497497E-02        0.508926E-02        0.123289E+00        0.274410E+00       -0.620267E-01        0.100000E+01       -0.327238E-17        0.119683E+01        0.119676E+01        0.856797E-04        0.144703E-03        0.215600E+02        0.754200E-01       -0.346533E-01        0.640000E+01
    200910        0.619802E-05        0.815696E-04        0.273780E-05        0.119024E+01        0.808340E-02        0.102021E-01        0.208128E-05        0.103288E-03        0.135428E-02        0.142983E-02        0.559313E-01        0.167063E+00        0.722230E-01        0.100000E+01        0.534521E-17        0.119937E+01        0.119938E+01        0.460226E-04        0.369571E-04        0.156742E+02        0.722161E-01       -0.383677E-01        0.640000E+01
    200911        0.456043E-05        0.698467E-04        0.208989E-05        0.115767E+01        0.390332E-02        0.489085E-02        0.250068E-05        0.545353E-04        0.647276E-03        0.691054E-03        0.329693E-01        0.165224E+00        0.991993E-01        0.100000E+01        0.854354E-17        0.120000E+01        0.120000E+01        0.198707E-04        0.182397E-04        0.127290E+02        0.788267E-01       -0.320100E-01        0.640000E+01
    200912        0.360597E-05        0.664474E-04        0.176023E-05        0.816665E+00        0.186376E-02        0.230605E-02        0.111634E-05        0.139788E-03        0.262035E-03        0.323156E-03        0.287625E-01        0.139586E+00        0.229731E+00        0.100000E+01        0.190667E-17        0.120000E+01        0.120000E+01        0.450968E-05        0.753032E-05        0.483903E+01        0.591065E-01       -0.602129E-01        0.640000E+01
    201001        0.223032E-05        0.406761E-04        0.107892E-05        0.502926E+00        0.200435E-02        0.248489E-02        0.104901E-05        0.109286E-03        0.168121E-03        0.207136E-03        0.320606E-01        0.854033E-01        0.228710E+00        0.100000E+01        0.248963E-17        0.120000E+01        0.120000E+01        0.397032E-05        0.501636E-05        0.418516E+01        0.484613E-01       -0.967161E-01        0.640000E+01
    201002        0.153003E-05        0.274531E-04        0.745433E-06        0.336213E+00        0.215801E-02        0.269671E-02        0.125106E-05        0.441576E-04        0.118100E-03        0.146126E-03        0.334836E-01        0.548414E-01        0.225726E+00        0.100000E+01        0.184779E-18        0.120000E+01        0.120000E+01        0.336157E-05        0.363507E-05        0.467071E+01        0.621536E-01       -0.548607E-01        0.640000E+01
    201003        0.176457E-05        0.284450E-04        0.824438E-06        0.584737E+00        0.479603E-02        0.618921E-02        0.133836E-04        0.622866E-05        0.410953E-03        0.514578E-03        0.513344E-01        0.794304E-01        0.220847E+00        0.100000E+01        0.117633E-16        0.120153E+01        0.120155E+01        0.254097E-04        0.136335E-04        0.985000E+01        0.954258E-01       -0.224839E-01        0.640000E+01
    201004        0.398842E-05        0.648164E-04        0.181624E-05        0.129075E+01        0.140208E-01        0.181797E-01        0.654990E-04        0.292097E-05        0.211561E-02        0.209726E-02        0.980583E-01        0.150301E+00        0.905925E-04        0.100000E+01        0.160913E-16        0.122035E+01        0.122039E+01        0.116120E-03        0.733249E-04        0.158567E+02        0.119513E+00       -0.138920E-01        0.640000E+01
    201005        0.464000E-05        0.939765E-04        0.217575E-05        0.129190E+01        0.243138E-01        0.310514E-01        0.421253E-04        0.136068E-04        0.356149E-02        0.350161E-02        0.135844E+00        0.147683E+00       -0.109854E-01        0.100000E+01        0.113942E-17        0.126359E+01        0.126366E+01        0.188000E-03        0.120857E-03        0.189065E+02        0.982355E-01       -0.208903E-01        0.640000E+01
    201006        0.412264E-05        0.990061E-04        0.197657E-05        0.129476E+01        0.287392E-01        0.366292E-01        0.813565E-04        0.267757E-05        0.370131E-02        0.360932E-02        0.105887E+00        0.129444E+00       -0.199306E-01        0.100000E+01       -0.676425E-17        0.131117E+01        0.131122E+01        0.173167E-03        0.117394E-03        0.249833E+02        0.114833E+00       -0.145700E-01        0.640000E+01
    201007        0.372046E-05        0.106030E-03        0.186640E-05        0.126168E+01        0.296253E-01        0.373492E-01        0.304536E-04        0.100400E-04        0.376503E-02        0.374254E-02        0.101591E+00        0.127237E+00       -0.151635E-02        0.100000E+01        0.117270E-16        0.134675E+01        0.134680E+01        0.165968E-03        0.114600E-03        0.259097E+02        0.983065E-01       -0.201032E-01        0.640000E+01
    201008        0.345809E-05        0.110203E-03        0.179597E-05        0.125277E+01        0.251640E-01        0.315817E-01        0.169128E-04        0.150690E-04        0.305829E-02        0.305163E-02        0.806577E-01        0.121429E+00        0.510407E-02        0.100000E+01        0.225714E-17        0.138097E+01        0.138099E+01        0.120645E-03        0.920604E-04        0.268903E+02        0.929194E-01       -0.224968E-01        0.640000E+01
    201009        0.346078E-05        0.124374E-03        0.187572E-05        0.126888E+01        0.213247E-01        0.272222E-01        0.690807E-04        0.275871E-05        0.287289E-02        0.285189E-02        0.845092E-01        0.135088E+00       -0.129572E-02        0.100000E+01        0.987402E-17        0.139437E+01        0.139439E+01        0.101983E-03        0.857287E-04        0.239200E+02        0.116433E+00       -0.142933E-01        0.640000E+01
