 Simulation_Period = 20090901 -- 20170831
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
    1    1       20100122          0.00003208          0.00000672          0.00000003
    2    1       20100217          0.00001793          0.00000283          0.00000003
    3    1       20100318          0.00006394          0.00001011          0.00000003
    4    1       20100427          0.00008240          0.00011361          0.00000091
    5    1       20100517          0.00012650          0.00012554          0.00000655
    6    1       20100610          0.00011700          0.00011941          0.00000175
    7    1       20100701          0.00015520          0.00009826          0.00000012
    8    1       20100721          0.00015040          0.00012571          0.00000017
    9    1       20100827          0.00006145          0.00007486          0.00000036
   10    1       20100922          0.00012470          0.00008997          0.00000048
   11    1       20101118          0.00006804          0.00004168          0.00000025
   12    1       20101222          0.00002884          0.00000249          0.00000002
   13    1       20110122          0.00001339          0.00000251          0.00000003
   14    1       20110222          0.00002797          0.00001566          0.00000032
   15    1       20110323          0.00006178          0.00001658          0.00000001
   16    1       20110428          0.00011320          0.00006930          0.00000033
   17    1       20110526          0.00012210          0.00012338          0.00000073
   18    1       20110626          0.00003272          0.00007833          0.00000265
   19    1       20110719          0.00003010          0.00002762          0.00000121
   20    1       20110816          0.00007841          0.00003244          0.00000010
   21    1       20110905          0.00004147          0.00003934          0.00000038
   22    1       20110924          0.00003985          0.00004520          0.00000015
   23    1       20111018          0.00005724          0.00005217          0.00000064
   24    1       20111112          0.00006761          0.00005321          0.00000015
   25    1       20111210          0.00001739          0.00003896          0.00000004
   26    1       20120115          0.00001458          0.00002758          0.00000006
   27    1       20120219          0.00003002          0.00003738          0.00000011
   28    1       20120313          0.00005486          0.00005886          0.00000175
   29    1       20120421          0.00005292          0.00011172          0.00000011
   30    1       20120519          0.00003175          0.00006460          0.00000040
   31    1       20120617          0.00003737          0.00007668          0.00000080
   32    1       20120722          0.00003996          0.00005859          0.00000034
   33    1       20120823          0.00003823          0.00005230          0.00000017
   34    1       20120922          0.00002711          0.00005045          0.00000008
   35    1       20121028          0.00003197          0.00003537          0.00000010
   36    1       20121117          0.00002614          0.00002475          0.00000009
   37    1       20121218          0.00002700          0.00002105          0.00000023
   38    1       20130120          0.00004374          0.00001990          0.00000015
   39    1       20130327          0.00003402          0.00002945          0.00000004
   40    1       20130529          0.00013270          0.00010883          0.00000018
   41    1       20130624          0.00013220          0.00017292          0.00000014
   42    1       20130802          0.00012310          0.00015360          0.00000002
   43    1       20130907          0.00009299          0.00008983          0.00000015
   44    1       20131009          0.00004741          0.00006050          0.00000002
   45    1       20140723          0.00011390          0.00009363          0.00000080
   46    1       20140827          0.00004838          0.00005803          0.00000021
   47    1       20140930          0.00004644          0.00005294          0.00000026
   48    1       20141029          0.00003370          0.00005152          0.00000025
   49    1       20141125          0.00002538          0.00003642          0.00000018
   50    1       20150203          0.00006772          0.00003393          0.00000016
   51    1       20150311          0.00008618          0.00005358          0.00000003
   52    1       20150426          0.00010120          0.00010635          0.00000019
   53    1       20150518          0.00009860          0.00012786          0.00000014
   54    1       20150624          0.00013050          0.00011537          0.00000050
   55    1       20150716          0.00004676          0.00008843          0.00000017
   56    1       20150926          0.00015290          0.00015758          0.00000100
   57    1       20151119          0.00007193          0.00005216          0.00000054
   58    1       20151216          0.00007474          0.00004892          0.00000025
   59    1       20160129          0.00003067          0.00004046          0.00000011
   60    1       20160229          0.00004082          0.00003527          0.00000003
   61    1       20160320          0.00007063          0.00003310          0.00000002
   62    1       20160423          0.00012700          0.00010128          0.00000061
