 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.124E+01           0.124E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.250E-01           0.500E-02           0.200E-01           0.110E-02           0.500E-03           0.100E-03           0.500E-03           0.106-314           0.000E+00           0.116+261           0.695-309           0.816-319           0.106-313           0.000E+00           0.796-316           0.692-309           0.000E+00           0.000E+00           0.424-313           0.134-313           0.695-309           0.692-309           0.252-321           0.898-319           0.148-320           0.798-316           0.198-322           0.692-309           0.695-309           0.252-321           0.494-323           0.494-323           0.198-322           0.116+261           0.796-316           0.695-309           0.138-230           0.494-323           0.435-310           0.000E+00           0.198-322           0.692-309           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
  20090901        0.122007E+01        0.122007E+01        0.117121E+01        0.404938E+00        0.452259E-01        0.701836E+00        0.192087E-01        0.180270E-01        0.297737E-01        0.977683E-02        0.199969E-01        0.106563E-02        0.484784E-03        0.964144E-04        0.484431E-03       -0.967660E-17        0.183264E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090902        0.120744E+01        0.120744E+01        0.117371E+01        0.404845E+00        0.457680E-01        0.701701E+00        0.213947E-01        0.158849E-03        0.325592E-01        0.124868E-01        0.200724E-01        0.101603E-02        0.463375E-03        0.906171E-04        0.462038E-03       -0.964374E-17        0.336740E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090903        0.120605E+01        0.120605E+01        0.117278E+01        0.404764E+00        0.463315E-01        0.701571E+00        0.201088E-01        0.152566E-03        0.321504E-01        0.119736E-01        0.201768E-01        0.971301E-03        0.444094E-03        0.853571E-04        0.441850E-03        0.955680E-17        0.377818E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090904        0.120481E+01        0.120481E+01        0.117196E+01        0.404693E+00        0.469101E-01        0.701446E+00        0.189133E-01        0.148371E-03        0.317687E-01        0.115092E-01        0.202595E-01        0.928297E-03        0.425430E-03        0.804403E-04        0.422427E-03       -0.106377E-16        0.417383E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090905        0.120369E+01        0.120369E+01        0.117125E+01        0.404633E+00        0.475137E-01        0.701328E+00        0.177739E-01        0.144075E-03        0.314091E-01        0.110837E-01        0.203254E-01        0.887899E-03        0.407830E-03        0.758948E-04        0.404174E-03        0.987424E-17        0.455720E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090906        0.120256E+01        0.120256E+01        0.117050E+01        0.404565E+00        0.480343E-01        0.701215E+00        0.166857E-01        0.127257E-03        0.310811E-01        0.106873E-01        0.203938E-01        0.850063E-03        0.391290E-03        0.716985E-04        0.387074E-03       -0.750693E-17        0.491280E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090907        0.120144E+01        0.120144E+01        0.116972E+01        0.404488E+00        0.484798E-01        0.701108E+00        0.156468E-01        0.123362E-03        0.307834E-01        0.103186E-01        0.204648E-01        0.814671E-03        0.375773E-03        0.678233E-04        0.371075E-03        0.198726E-16        0.523991E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090908        0.120044E+01        0.120044E+01        0.116903E+01        0.404421E+00        0.489456E-01        0.701006E+00        0.146610E-01        0.119678E-03        0.305025E-01        0.996497E-02        0.205375E-01        0.781393E-03        0.361133E-03        0.642345E-04        0.356026E-03       -0.572712E-17        0.555632E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090909        0.119953E+01        0.119953E+01        0.116843E+01        0.404364E+00        0.494302E-01        0.700909E+00        0.137254E-01        0.116199E-03        0.302370E-01        0.962518E-02        0.206118E-01        0.750105E-03        0.347322E-03        0.609116E-04        0.341872E-03        0.283948E-16        0.586265E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
