 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.124E+01           0.124E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.250E-01           0.500E-02           0.200E-01           0.110E-02           0.500E-03           0.100E-03           0.500E-03           0.106-314           0.000E+00           0.116+261           0.695-309           0.816-319           0.106-313           0.000E+00           0.796-316           0.692-309           0.000E+00           0.000E+00           0.424-313           0.134-313           0.695-309           0.692-309           0.252-321           0.898-319           0.148-320           0.798-316           0.198-322           0.692-309           0.695-309           0.252-321           0.494-323           0.494-323           0.198-322           0.116+261           0.796-316           0.695-309           0.138-230           0.494-323           0.435-310           0.000E+00           0.198-322           0.692-309           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
    200909        0.119796E+01        0.119796E+01        0.116748E+01        0.404239E+00        0.522518E-01        0.700463E+00        0.105222E-01        0.694874E-03        0.291804E-01        0.810097E-02        0.210795E-01        0.612465E-03        0.284187E-03        0.489726E-04        0.279305E-03       -0.325469E-17        0.718842E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200910        0.119860E+01        0.119860E+01        0.117050E+01        0.404590E+00        0.649855E-01        0.699022E+00        0.190000E-02        0.395521E-04        0.278546E-01        0.465085E-02        0.232038E-01        0.205168E-03        0.962931E-04        0.148712E-04        0.940035E-04        0.536160E-17        0.120318E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200911        0.120253E+01        0.120253E+01        0.117335E+01        0.404686E+00        0.698877E-01        0.698361E+00        0.415796E-03        0.199980E-04        0.290191E-01        0.479399E-02        0.242251E-01        0.145575E-03        0.674331E-04        0.113583E-04        0.667835E-04        0.853723E-17        0.139282E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200912        0.120133E+01        0.120133E+01        0.117091E+01        0.403970E+00        0.689705E-01        0.697836E+00        0.129870E-03        0.119381E-04        0.303033E-01        0.422172E-02        0.260816E-01        0.111325E-03        0.514159E-04        0.883096E-05        0.510779E-04        0.190568E-17        0.147804E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201001        0.119960E+01        0.119960E+01        0.116813E+01        0.403296E+00        0.672574E-01        0.697462E+00        0.109714E-03        0.130353E-04        0.313883E-01        0.267496E-02        0.287134E-01        0.717811E-04        0.332468E-04        0.559934E-05        0.329349E-04        0.250333E-17        0.152261E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201002        0.119911E+01        0.119911E+01        0.116694E+01        0.402949E+00        0.666168E-01        0.697233E+00        0.144463E-03        0.140564E-04        0.321049E-01        0.175979E-02        0.303451E-01        0.464991E-04        0.215781E-04        0.358608E-05        0.213350E-04        0.182905E-18        0.155212E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201003        0.120202E+01        0.120202E+01        0.116856E+01        0.403059E+00        0.682626E-01        0.697041E+00        0.198765E-03        0.278347E-04        0.333745E-01        0.266931E-02        0.307052E-01        0.542424E-04        0.251382E-04        0.421640E-05        0.248878E-04        0.117630E-16        0.160048E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201004        0.122051E+01        0.122051E+01        0.118531E+01        0.405490E+00        0.830137E-01        0.696719E+00        0.896688E-04        0.733536E-04        0.349934E-01        0.525992E-02        0.297335E-01        0.133587E-03        0.606368E-04        0.116571E-04        0.612931E-04        0.160937E-16        0.188054E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201005        0.126358E+01        0.126358E+01        0.122915E+01        0.412374E+00        0.120350E+00        0.696408E+00        0.183320E-04        0.119446E-03        0.341450E-01        0.504516E-02        0.290998E-01        0.168660E-03        0.725781E-04        0.186963E-04        0.773854E-04        0.113424E-17        0.262676E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
