 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
      Year                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.124E+01           0.124E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.250E-01           0.500E-02           0.200E-01           0.110E-02           0.500E-03           0.100E-03           0.500E-03           0.106-314           0.000E+00           0.116+261           0.695-309           0.816-319           0.106-313           0.000E+00           0.796-316           0.692-309           0.000E+00           0.000E+00           0.424-313           0.134-313           0.695-309           0.692-309           0.252-321           0.898-319           0.148-320           0.798-316           0.198-322           0.692-309           0.695-309           0.252-321           0.494-323           0.494-323           0.198-322           0.116+261           0.796-316           0.695-309           0.138-230           0.494-323           0.435-310           0.000E+00           0.198-322           0.692-309           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
      2009        0.120010E+01        0.120010E+01        0.117056E+01        0.404370E+00        0.640723E-01        0.698912E+00        0.320546E-02        0.188872E-03        0.290892E-01        0.542540E-02        0.236638E-01        0.266823E-03        0.123997E-03        0.208581E-04        0.121969E-03        0.314559E-17        0.120055E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2010        0.130806E+01        0.130806E+01        0.127571E+01        0.423282E+00        0.154017E+00        0.698365E+00        0.465777E-04        0.667428E-04        0.321501E-01        0.400510E-02        0.281450E-01        0.130989E-03        0.516782E-04        0.192097E-04        0.601011E-04        0.556890E-17        0.403394E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2011        0.142066E+01        0.142066E+01        0.137567E+01        0.454959E+00        0.213715E+00        0.706937E+00        0.611142E-04        0.532315E-04        0.448095E-01        0.371161E-02        0.410979E-01        0.124971E-03        0.459124E-04        0.217188E-04        0.573399E-04       -0.113139E-17        0.893709E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2012        0.142113E+01        0.142113E+01        0.136454E+01        0.472124E+00        0.175392E+00        0.717017E+00        0.255201E-05        0.520906E-04        0.563814E-01        0.499218E-02        0.513892E-01        0.163219E-03        0.645477E-04        0.237822E-04        0.748890E-04        0.420668E-17        0.135579E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2013        0.142715E+01        0.142715E+01        0.137712E+01        0.487451E+00        0.166277E+00        0.723389E+00        0.991936E-06        0.694821E-04        0.497350E-01        0.697472E-02        0.427603E-01        0.230535E-03        0.929253E-04        0.318344E-04        0.105775E-03       -0.191230E-18        0.185553E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2014        0.145153E+01        0.145153E+01        0.141600E+01        0.506999E+00        0.179075E+00        0.729923E+00        0.481942E-14        0.572981E-04        0.353223E-01        0.485023E-02        0.304721E-01        0.152431E-03        0.612854E-04        0.212062E-04        0.699390E-04        0.245169E-17        0.242654E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2015        0.152595E+01        0.152595E+01        0.149090E+01        0.535514E+00        0.216054E+00        0.739332E+00        0.000000E+00        0.825454E-04        0.347978E-01        0.528361E-02        0.295142E-01        0.166879E-03        0.645560E-04        0.257546E-04        0.765684E-04        0.463600E-19        0.302185E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2016        0.156097E+01        0.156097E+01        0.154603E+01        0.568247E+00        0.223835E+00        0.753953E+00        0.000000E+00        0.784196E-04        0.146960E-01        0.517418E-02        0.952185E-02        0.165061E-03        0.643817E-04        0.249451E-04        0.757342E-04        0.377462E-17        0.375240E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2017        0.164603E+01        0.164603E+01        0.161787E+01        0.595253E+00        0.258523E+00        0.764054E+00        0.424442E-04        0.739163E-04        0.279531E-01        0.360235E-02        0.243508E-01        0.126834E-03        0.478667E-04        0.207729E-04        0.581949E-04        0.316934E-17        0.423600E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
